,H_beta_EL_value,H_beta_EL_ANR,O_3_5007_EL_value,O_3_5007_EL_ANR,Component_Sol,H_beta_SI,Mg_b_SI,Fe_5015_SI,R,SNR,K_index
31,3.0738901266771696e-17,2.273395433553527,7.780480605573881e-18,0.42932048446264237,"[array([39.06635628, 20.        ]), array([106.34490927,  20.        ])]",0.10536153727737012,-0.03442266359126368,-0.16841330941549326,0.008321194300522047,1.3335078403724832,[31]
32,0.0,-0.0,1.785796526148029e-17,0.8819858874004851,"[array([ 2.80551725, 20.        ]), array([93.78366423, 27.06243259])]",0.057951160110366606,0.08090208435281215,-0.08084848496383933,0.008284881326843739,1.3324357820184836,[32]
33,8.135638790850932e-18,0.44995797540307725,8.904545666613135e-18,0.36440700299385687,"[array([-31.42810341,  20.        ]), array([72.56940689, 35.75484503])]",0.10146772104677036,0.06884600792223575,-0.11926757450787091,0.008251586440530692,1.293839774024832,[33]
34,1.5846333694291212e-17,1.1828700997937398,4.873909212558002e-18,0.2706779788924842,"[array([ 0., 40.]), array([85.77679875, 20.        ])]",0.053273775788855074,-0.03828796358664041,-0.1654315870633271,0.008221346309697796,1.2038182185534325,[34]
35,1.1940390074213407e-17,0.3902630320728604,0.0,-0.0,"[array([67.60243234, 20.        ]), array([-132.3443818 ,   69.77801323])]",0.06674314092913691,0.010424029179697833,-0.15126825611561764,0.008194194754526296,1.4142054089867762,[35]
36,7.611402277623422e-18,0.5560792440318562,0.0,-0.0,"[array([-19.43252326,  20.        ]), array([-167.42059638,   20.        ])]",0.048899351804777905,0.04948939783730572,-0.09200805731471359,0.008170162567485127,1.5577369994153918,[36]
37,1.83909475496267e-17,0.6834903362802206,7.836803509825633e-18,0.2133429027744082,"[array([-30.96840024,  20.        ]), array([-148.32967853,   58.36483572])]",0.05154374683438662,0.08917363435952524,-0.06387490856433344,0.008149277345629277,1.52569152977877,[37]
38,3.101259238057982e-17,0.741744322357595,1.6492351653684554e-18,0.028874097579310278,"[array([-414.45240831,  300.        ]), array([-254.53071786,  100.        ])]",0.021041976143843844,0.03149609654407275,-0.11763524804608694,0.008131563337116066,1.4304152807539237,[38]
39,0.0,0.0,1.1204001281597027e-17,0.5920449272157785,"[array([-1797.51504545,   300.        ]), array([-1866.36639968,    20.        ])]",0.09793651558074226,-0.0035933739802056896,-0.14749866711855528,0.008117041303821878,1.3230803145071992,[39]
40,3.361197190484743e-17,0.7782891946617723,0.0,0.0,"[array([30.34088471, 20.        ]), array([230.34088471, 100.        ])]",0.11686480199796524,0.08419127671955642,-0.10498447557158942,0.008105728401764064,1.6167045332341223,[40]
41,2.628065045430993e-17,1.2279787294694116,1.0345576488026107e-18,0.03547034527907219,"[array([-33.87733575,  20.        ]), array([36.33682705, 41.95977412])]",0.11025569177014004,0.04929926924498048,-0.1260192117470416,0.008097638081018174,1.5846911966278838,[41]
42,0.0,-0.0,1.639423887435385e-17,0.6362603061329476,"[array([-33.67576449,  20.        ]), array([31.83736955, 36.64504905])]",-0.008123643964848229,0.0726548846837931,-0.08389079690485468,0.008092780006398743,1.6610213679907473,[42]
43,0.0,0.0,7.431231236943281e-18,0.39924187630146013,"[array([-14.69628908,  20.        ]), array([-211.47989375,   20.        ])]",0.048685578377822,0.016870238312720807,-0.10594082881472332,0.008091159999998323,1.565012068240405,[43]
44,1.5073888213106408e-17,0.7644874897893346,1.5760807978228628e-17,0.5908411151199617,"[array([41.47579284, 20.        ]), array([235.48863894,  38.39325906])]",0.05247424235116345,0.05944443055109134,-0.10471125976268532,0.008092780006399715,1.6855117595757336,[44]
45,0.0,-0.0,3.099006995760837e-17,0.5193974860048381,"[array([-77.76734267, 109.59159713]), array([122.23265733, 100.        ])]",0.16878688852412638,0.16211882627763793,-0.06946889442941934,0.008097638081020037,1.6334439947978736,[45]
46,1.1203247892290351e-17,0.8061457197283753,4.146635502372696e-18,0.22124328558484474,"[array([-9.91895706, 20.        ]), array([ 0.18213916, 20.        ])]",0.02286084453355714,0.02454737100519709,-0.13531980278979674,0.008105728401765185,1.7644598140092629,[46]
47,3.894959936790616e-18,0.2780172162951812,6.8244761504399165e-18,0.35960400328930536,"[array([-7.32735183, 20.        ]), array([166.7709958,  20.       ])]",0.035795797814605915,0.057795865035420585,-0.08200438553890838,0.008117041303823319,1.606612392490714,[47]
48,0.0,-0.0,1.08031803497617e-17,0.365655186042023,"[array([-88.21321274,  20.        ]), array([111.78678726,  42.03500473])]",0.09179162628728865,0.05120733966842246,-0.10525037450600773,0.008131563337120737,1.6187833312594848,[48]
49,1.721604721068619e-17,1.2449668777309666,2.3039405214837288e-17,1.2426845349284705,"[array([-32.7020622,  20.       ]), array([139.08144318,  20.        ])]",0.11007004819232487,0.04448395848871309,-0.12614986746952808,0.008149277345629759,1.6095647972371554,[49]
50,1.587901213419032e-17,1.0989058608178544,0.0,-0.0,"[array([-56.75706707, 168.17460595]), array([11.19034026, 20.        ])]",0.14302247537500154,0.09505216091082765,-0.10257818241013567,0.008170162567487671,1.8944515582765662,[50]
51,5.198572743542346e-18,0.36811412913446345,1.029582635515438e-17,0.5371065816388981,"[array([-14.44123467,  20.        ]), array([-18.98141791,  20.        ])]",0.044404785873890885,0.04058436798480983,-0.1303197226158584,0.008194194754531963,1.8313955467381389,[51]
52,0.0,-0.0,1.9046949615083222e-17,0.9615389052042084,"[array([10.30355967, 20.        ]), array([-36.56187337,  24.99016967])]",0.05866386618077875,0.09116297531194831,-0.09968850765815374,0.008221346309699387,1.669430812679187,[52]
53,2.3010814693780493e-17,1.685024116816999,0.0,-0.0,"[array([-30.49154392,  61.42170438]), array([44.14637407, 20.        ])]",0.11812548730174528,0.036082280692855094,-0.09289015199627741,0.008251586440532595,1.4805880676592003,[53]
