i,j,k_index,velocity,sigma,SNR,R,Hbeta_flux,Hbeta_SNR,[OIII]5007_flux,[OIII]5007_SNR,Hbeta_index,Fe5015_index,Mgb_index
3,77,338,37.64600352543398,-162.35399647456603,0.354634132268925,0.008277318561579164,49.88525627436507,1.1467593187043963,5.774356546731894,0.09716419529760874,-9.782152661810615,18.766337046389204,-18.768892275837132
3,78,339,-199.63500074282254,-319.8914174723666,0.46107211340218945,0.008384320631092124,51.06864267449942,1.299578164073654,14.033873382175894,0.26101462934405395,-5.893869679610905,17.872345791449437,-20.688713985311306
3,79,340,1085.132000627177,1285.132000627177,0.729137290423882,0.008493061785532266,29.17036437639344,0.9537314027259081,3.1604886021423573,0.07561218831836991,10.562210756713629,-0.7191054234514176,-7.198866149026546
3,80,341,3.979711374857434,-79.17366219503626,0.9986643063725678,0.008603476083180846,5.137384272370733,0.5380737263295158,9.340290843843821,0.7270490274962103,-3.6801130881871,-9.050852200257642,-13.981455429390271
3,81,342,7.708478617584801,207.7084786175848,1.1254487788739425,0.008715499934447262,29.366853175507238,1.084776617921644,0.3723448294094179,0.01006026133937092,-3.038469796755612,-0.21213078785130235,-0.15778646234472582
3,82,343,121.03933890169804,155.6686175998003,0.9829053325446087,0.008829072073192612,53.642010530805166,2.8580810341898806,10.063912888554913,0.39247890859556905,-0.937038102167734,-5.32724250462073,0.0676584036445107
3,83,344,-368.9179601455799,-485.33586399042247,1.1556381913505727,0.008944133519411951,19.901027101400317,1.9863178323161985,0.6110382937999465,0.04532960107215551,5.224635558526227,0.8514899953868511,-7.624002539987169
3,84,345,-368.9179601455799,-485.33586399042247,1.1556381913505727,0.009060627534831413,19.901027101400317,1.9863178323161985,0.6110382937999465,0.04532960107215551,5.224635558526227,0.8514899953868511,-7.624002539987169
3,85,346,-368.9179601455799,-485.33586399042247,1.1556381913505727,0.009178499572894034,19.901027101400317,1.9863178323161985,0.6110382937999465,0.04532960107215551,5.224635558526227,0.8514899953868511,-7.624002539987169
3,86,347,-368.9179601455799,-485.33586399042247,1.1556381913505727,0.009297697223908384,19.901027101400317,1.9863178323161985,0.6110382937999465,0.04532960107215551,5.224635558526227,0.8514899953868511,-7.624002539987169
4,0,348,-59.733947695230036,-32.41327940379463,2.945362841398193,0.008946795676679343,13.719521099253813,1.4866766079890468,7.078291396604086,0.5726876148216634,3.7781389827097582,2.358846361226348,-3.7835128188971616
4,1,349,-165.88933924550975,-19.089888079125704,2.387953531801391,0.00881988647602558,22.582083200989118,0.7811750033903808,4.320501280134623,0.10927530365820516,3.9202655603536196,-1.8866482705734466,-9.841592242125857
4,2,350,-109.17748958337889,-142.86260194242718,1.4167194741422633,0.008694140451598527,30.043183174384883,0.9768417639197702,19.211119357345257,0.4572119509589666,3.2361627222069966,3.7506595294434004,-12.149054261556639
4,3,351,-527.5634135004962,-686.8776923778993,0.7090927162665775,0.008569608807142241,53.167882056552145,1.3357308571615836,2.103546042466182,0.038635044900325405,5.34619213010407,-9.375793428232807,11.005656325376478
4,4,352,141.023675307548,265.37656524565915,0.6408311437015003,0.008446345256711446,23.236333745534502,1.7481252998413916,14.88211886299104,0.8278389067227571,3.734170952353076,-12.310184425380367,4.8040396012255275
4,5,353,101.75087377572962,199.76260101450205,0.7592820125453613,0.008324406132338548,27.816924746346235,2.376979855628511,2.0890117400639405,0.13180220125054773,4.953992250090986,-4.729258908413563,-15.449384385451959
4,6,354,-44.828999090327756,-25.639008809167386,1.0899346188883778,0.008203850491680917,58.78076694379332,1.9691382612455675,22.95850001070929,0.5623956098577972,12.449576068353451,8.84815849916715,-3.7154696786948995
4,7,355,40.6832712994783,-27.365868574348166,1.5053461188735169,0.008084740224420735,18.839867803895796,2.3757358159296214,0.0,-0.0,4.700873345743437,-0.15022269678542366,3.1335444984705387
4,8,356,-16.800544061118742,-51.460668045860764,1.6264407002032812,0.00796714015664806,9.612260542162243,0.8770621991442386,15.79184280951621,1.0591883898029122,0.4966201072484736,-1.8158599562031148,2.9984796691380264
4,9,357,-66.82946908951966,-23.031042705191393,1.6124146245946867,0.007851118151412567,18.3866597688803,2.380843236757155,8.232140998373199,0.7962291693087286,1.1465874302722991,3.7929169165617025,3.466514076584936
4,10,358,-126.92726326667228,-32.73055107162424,1.750828215174491,0.007736745204048213,11.513511674152813,1.4126529980366909,0.0,0.0,5.187578303262128,0.628394889496827,-2.989789511543533
